category,amt,gender,city_pop,day_of_week,time_of_day,region,season,age_group
grocery_pos,141.42,M,2317,Tuesday,early morning,South,Spring,51-65
home,78.84,F,67082,Tuesday,evening,South,Spring,51-65
misc_pos,3.42,M,55345,Saturday,late night,South,Winter,66-plus
grocery_net,92.65,M,7163,Saturday,late morning,South,Winter,36-50
misc_pos,3.21,F,765,Monday,night,Midwest,Summer,36-50
shopping_pos,6.47,F,1925,Sunday,early morning,South,Spring,51-65
health_fitness,4.78,F,2906700,Monday,early afternoon,South,Summer,19-35
shopping_net,3.25,F,6841,Thursday,early afternoon,South,Summer,19-35
shopping_net,102.26,M,1532,Saturday,early morning,Midwest,Spring,36-50
food_dining,189.89,F,5438,Saturday,late morning,Northeast,Fall,51-65
travel,5.97,F,91,Monday,evening,Midwest,Summer,51-65
kids_pets,28.96,M,463,Wednesday,evening,Midwest,Summer,66-plus
shopping_pos,6.06,M,5196,Monday,evening,Midwest,Winter,36-50
kids_pets,64.21,F,78968,Saturday,night,Midwest,Winter,51-65
personal_care,52.17,M,140,Friday,early afternoon,Midwest,Spring,66-plus
misc_pos,5.49,F,69,Saturday,night,Northeast,Winter,19-35
shopping_pos,118.83,M,2092,Wednesday,early morning,Midwest,Summer,51-65
gas_transport,64.11,M,9034,Wednesday,late night,South,Winter,36-50
personal_care,83.31,M,964,Thursday,night,Midwest,Spring,36-50
misc_net,7.08,M,1165,Wednesday,late night,South,Summer,66-plus
home,76.44,M,1360,Monday,night,Midwest,Summer,19-35
misc_net,20.47,F,4090,Friday,late morning,South,Spring,36-50
home,80.09,M,1126,Sunday,early afternoon,Midwest,Summer,36-50
travel,1.06,M,732,Friday,evening,Midwest,Summer,51-65
shopping_pos,7.28,F,1304,Saturday,early morning,Northeast,Winter,36-50
home,9.58,F,46,Saturday,night,West,Fall,19-35
grocery_net,45.14,M,23727,Monday,early morning,Midwest,Winter,36-50
health_fitness,39.61,M,899,Monday,early afternoon,West,Spring,51-65
misc_pos,5.71,M,3224,Friday,early afternoon,Northeast,Fall,19-35
gas_transport,54.06,F,1925,Saturday,late night,South,Spring,51-65
food_dining,64.3,M,1263321,Tuesday,late night,South,Spring,66-plus
shopping_net,7.68,M,19408,Sunday,evening,West,Spring,19-35
health_fitness,104.27,F,1563,Sunday,night,South,Fall,36-50
gas_transport,71.79,M,126,Thursday,late morning,West,Summer,19-35
entertainment,114.13,M,23045,Friday,early morning,Northeast,Fall,51-65
grocery_pos,114.53,F,2328,Sunday,late night,Midwest,Fall,66-plus
kids_pets,48.79,M,2457,Saturday,evening,South,Spring,36-50
grocery_pos,110.88,M,2097,Thursday,late morning,Midwest,Winter,19-35
grocery_pos,219.93,F,84106,Friday,late morning,West,Spring,36-50
gas_transport,79.4,F,2872,Wednesday,late night,West,Winter,19-35
gas_transport,57.71,F,215,Monday,late night,Midwest,Spring,51-65
kids_pets,5.07,M,564,Friday,late afternoon,South,Spring,19-35
grocery_pos,85.63,M,75830,Tuesday,early morning,Midwest,Spring,36-50
kids_pets,11.2,M,95035,Sunday,late afternoon,South,Spring,19-35
food_dining,69.86,F,391389,Sunday,evening,South,Spring,19-35
shopping_pos,84.7,F,2303,Tuesday,late afternoon,Northeast,Spring,19-35
misc_net,134.87,M,14742,Sunday,early morning,South,Summer,19-35
shopping_pos,6.57,F,1766,Wednesday,night,South,Winter,36-50
grocery_pos,169.93,F,3104,Friday,late night,Midwest,Spring,36-50
